name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;338;0;684;3063;1669;3063;1531;0
header;110;104;110;142;1761;142;1761;104
A;922;169;922;197;944;197;944;169
D;1472;354;1472;381;1506;381;1506;354
A;1087;682;1087;697;1095;697;1095;682
B;929;846;929;872;951;872;951;846
B;828;960;828;976;836;976;836;960
A;527;1051;527;1057;534;1057;534;1051
B;1250;1235;1250;1253;1263;1253;1263;1235
A;604;1267;604;1267;605;1267;605;1267
C;929;1522;929;1550;949;1550;949;1522
A;1077;1952;1077;1952;1078;1952;1078;1952
B;1527;2093;1527;2119;1541;2119;1541;2093
D;935;2288;935;2315;956;2315;956;2288
A;1425;2425;1425;2441;1432;2441;1432;2425
B;1076;2478;1076;2494;1084;2494;1084;2478
A;737;2483;737;2488;742;2488;742;2483
B;1443;2704;1443;2719;1452;2719;1452;2704
D;912;2710;912;2725;919;2725;919;2710
A;1116;2811;1116;2811;1116;2811;1116;2811
D;1004;2841;1004;2868;1025;2868;1025;2841
