name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;504;0;664;3057;1076;3057;1053;0
header;227;161;227;198;1858;198;1858;161
A;1029;224;1029;249;1049;249;1049;224
A;1042;684;1042;685;1043;685;1043;684
B;999;826;999;842;1007;842;1007;826
B;1030;902;1030;928;1050;928;1050;902
D;629;1000;629;1026;668;1026;668;1000
B;600;1010;600;1026;609;1026;609;1010
C;1028;1740;1028;1770;1050;1770;1050;1740
A;1031;1872;1031;1872;1031;1872;1031;1872
B;602;1942;602;1961;616;1961;616;1942
B;775;1942;775;1960;789;1960;789;1942
B;924;2219;924;2237;937;2237;937;2219
D;1032;2417;1032;2443;1051;2443;1051;2417
